1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,0,1
1,32,1
1,0,2
1,32,2
1,0,3
2,17,3
1,32,3
1,32,4
1,0,5
2,19,5
1,32,5
1,32,6
1,0,7
2,21,7
4,24,7
1,32,7
2,19,8
4,24,8
1,32,8
1,0,9
2,17,9
4,24,9
1,32,9
4,24,10
1,32,10
1,0,11
3,2,11
2,5,11
2,7,11
10,13,10
2,13,11
2,14,11
2,15,11
2,16,11
2,17,11
2,18,11
2,19,11
2,20,11
2,21,11
2,22,11
4,24,11
1,32,11
1,0,12
2,1,12
2,2,12
2,3,12
2,4,12
1,5,12
2,6,12
1,7,12
2,8,12
2,9,12
2,10,12
2,11,12
2,12,12
1,13,12
1,14,12
1,15,12
1,16,12
1,17,12
1,18,12
1,19,12
1,20,12
1,21,12
1,22,12
2,23,12
2,24,12
2,25,12
2,26,12
1,32,12
1,0,13
1,1,13
1,2,13
1,3,13
1,4,13
1,5,13
1,6,13
1,7,13
1,8,13
1,9,13
1,10,13
1,11,13
1,12,13
1,13,13
1,14,13
1,15,13
1,16,13
1,17,13
1,18,13
1,19,13
1,20,13
1,21,13
1,22,13
1,23,13
1,24,13
1,25,13
1,26,13
1,32,13
1,0,14
1,1,14
1,2,14
1,3,14
1,4,14
1,5,14
1,6,14
1,7,14
1,8,14
1,9,14
1,10,14
1,11,14
1,12,14
1,13,14
1,14,14
1,15,14
1,16,14
1,17,14
1,18,14
1,19,14
1,20,14
1,21,14
1,22,14
1,23,14
1,24,14
1,25,14
1,26,14
1,32,14
1,0,15
1,32,15
1,0,16
1,32,16
1,32,17
1,0,18
1,32,18
1,32,19
1,0,20
1,32,20
1,0,21
9,1,21,Map02
1,32,21
1,0,22
9,1,22,Map02
1,32,22
1,0,23
9,1,23,Map02
1,32,23
1,0,24
9,1,24,Map02
2,5,24
2,7,24
2,13,24
2,14,24
2,15,24
2,16,24
2,17,24
2,18,24
2,19,24
2,20,24
2,21,24
2,22,24
2,23,24
2,24,24
2,25,24
2,26,24
1,32,24
1,0,25
2,1,25
2,2,25
2,3,25
2,4,25
1,5,25
2,6,25
1,7,25
2,8,25
2,9,25
2,10,25
2,11,25
2,12,25
1,13,25
1,14,25
1,15,25
1,16,25
1,17,25
1,18,25
1,19,25
1,20,25
1,21,25
1,22,25
1,23,25
1,24,25
1,25,25
1,26,25
2,27,25
2,28,25
2,29,25
2,30,25
2,31,25
1,32,25
5,1029,798
6,315,252
7,1029,798
8,315,252
