1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,0,1
1,15,1
1,0,2
1,15,2
1,0,3
1,15,3
1,0,4
1,15,4
1,0,5
1,15,5
1,0,6
1,15,6
1,0,7
1,15,7
1,0,8
1,15,8
1,0,9
3,2,10
11,12,10
1,15,9
1,0,10
1,15,10
1,0,11
2,1,11
2,2,11
2,3,11
2,4,11
2,5,11
2,6,11
2,7,11
2,8,11
2,9,11
2,10,11
2,11,11
2,12,11
2,13,11
2,14,11
1,15,11
1,0,12
1,1,12
1,2,12
1,3,12
1,4,12
1,5,12
1,6,12
1,7,12
1,8,12
1,9,12
1,10,12
1,11,12
1,12,12
1,13,12
1,14,12
1,15,12
5,315,252
6,315,252
7,315,252
8,315,252
